scientific_name	genus	tribe	subfamily	family	superfamily	ITIS_id	hairy	spiny	leafroll	silktent	unpalatable	aposematic	social	aggregate 	iNat_taxon_link	notes
Macrophya trisyllaba	Macrophya	Macrophyini	Tenthredininae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/495121-Macrophya-trisyllaba	
Metallus lanceolatus	Metallus	Fenusini	Heterarthrinae	Tenthredinidae	Tenthredinoidea	NA	N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/603714-Metallus-lanceolatus	
Metallus rohweri	Metallus	Fenusini	Heterarthrinae	Tenthredinidae	Tenthredinoidea	NA	N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/495125-Metallus-rohweri	
Monoctenus suffusus	Monoctenus	NA	NA	Diprionidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/549607-Monoctenus	
Monophadnoides rubi	Monophadnoides	Blennocampini	Blennocampinae	Tenthredinidae	Tenthredinoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/495314-Monophadnoides-rubi	
Monostegia abdominalis	Monostegia	NA	Allantinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/358530-Monostegia-abdominalis	
Nefusa ambigua	Nefusa	Fenusini	Heterarthrinae	Tenthredinidae	Tenthredinoidea	NA	N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/495316-Nefusa-ambigua	
Nematus calais	Nematus	NA	Nematinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/320854-Nematus-calais	
Nematus salicisodoratus	Nematus	NA	Nematinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/335619-Nematus-salicisodoratus	
Nematus tibialis	Nematus	Na	Nematinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/495319-Nematus-tibialis	
Neodiprion fabricii	Neodiprion	NA	Diprioninae	Diprionidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/747535-Neodiprion-fabricii	
Neodiprion pinusrigidae	Neodiprion	NA	Diprioninae	Diprionidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/747570-Neodiprion-pinusrigidae	
Neoptilia tora	Neoptilia	NA	NA	Argidae	Tenthredinoidea	NA	N	N	N	N		Y	N	Y	https://www.inaturalist.org/taxa/472279-Neoptilia-tora	
Neurotoma fasciata	Neurotoma	NA	NA	Pamphiliidae	Megalodontoidea	NA	N	N	N	Y		N	Y	Y	https://www.inaturalist.org/taxa/371842-Neurotoma-fasciata	
Onycholyda amplecta	Onycholyda	NA	NA	Pamphiliidae	Megalodontoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/360144-Onycholyda-amplecta	
Onycholyda luteicornis	Onycholyda	NA	NA	Pamphiliidae	Megalodontoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/360145-Onycholyda-luteicornis	
Orussus minutus	NA		NA	NA	NA	NA										
Orussus terminalis	NA		NA	NA	NA	NA										
Pamphilius ochreipes	NA		NA	NA	NA	NA										
Pamphilius ocreatus	NA		NA	NA	NA	NA										
Pamphilius semicinctus	NA		NA	NA	NA	NA										
Periclista marginicollis	Periclista 	Lycaotini	Blennocampinae	Tenthredinidae	Tenthredinoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/359137-Periclista	
Perreyia tropica	NA		NA	NA	NA	NA										
Phymatocera aterrima	Phymatocera	Phymatocerini	Blennocampinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/61939-Phymatocera-aterrima	
Pleroneura bruneicornis	NA		NA	NA	NA	NA										
Priophorus morio	Priophorus	NA	Nematinae	Tenthredinidae	Tenthredinoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/395596-Priophorus-morio	
Pristiphora rufipes	Pristiphora	NA	Nematinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/447107-Pristiphora-rufipes	
Profenusa thomsoni	Profenusa	Fenusini	Heterarthrinae	Tenthredinidae	Tenthredinoidea	NA	N	N	Y	N		N	N	N	https://www.inaturalist.org/taxa/552336-Profenusa-thomsoni	
Pseudosiobla excavata	Pseudosiobla	Eriocampini	Allantinae	Tenthredinidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/495529-Pseudosiobla-excavata	
Sericoceros krugii	Seriococeros	NA	NA	Argidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/855785-Sericoceros-krugii	
Sericoceros mexicanus	Seriococeros	NA	NA	Argidae	Tenthredinoidea	NA	N	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/549143-Sericoceros-mexicanus	
Sirex nigricornis	NA		NA	NA	NA	NA										
Sirex noctilio	NA		NA	NA	NA	NA										
Sphacophilus apios	Sphacophilus	NA	NA	Argidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/550903-Sphacophilus-apios	
Strongylogaster multicincta	NA		NA	NA	NA	NA										
Strongylogaster tacita	NA		NA	NA	NA	NA										
Taxonus pallidicornis	NA		NA	NA	NA	NA										
Taxonus terminalis	NA		NA	NA	NA	NA										
Tenthredo basilaris	NA		NA	NA	NA	NA										
Tenthredo grandis	NA		NA	NA	NA	NA										
Tenthredo mellicoxa	NA		NA	NA	NA	NA										
Tenthredo scrophulariae	NA		NA	NA	NA	NA										
Tenthredo semirufa	NA		NA	NA	NA	NA										
Tenthredo verticalis	NA		NA	NA	NA	NA										
Trichiocampus grandis	Trichiocampus	NA	NA	Tenthredinidae	Tenthredinoidea	NA	Y	N	N	N		N	N	Y	https://www.inaturalist.org/taxa/559470-Trichiocampus-grandis	
Trichiosoma triangulum	Trichiosom	NA	NA	Cimbicidae	Tenthredinoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/53847-Trichiosoma-triangulum	
Urocerus albicornis	NA		NA	NA	NA	NA										
Urocerus cressoni	NA		NA	NA	NA	NA	test edit									
Urocerus flavicornis	NA		NA	NA	NA	NA										
Urocerus gigas	NA		NA	NA	NA	NA										
Xiphydria maculata	NA		NA	NA	NA	NA										
Zaschizonyx montana	NA		NA	NA	NA	NA										
Zynzus bicolor	NA		NA	NA	NA	NA										
Acantholyda erythrocephala	Acantholyda		NA	Pamphiliidae	Pamphilioidea	152753										
Tremex columba	Tremex		NA	Siricidae	Siricoidea	152849										
Allantus cinctus	Allantus		NA	Tenthredinidae	Tenthredinoidea	152797										
Ametastegia	Ametastegia		NA	Tenthredinidae	Tenthredinoidea	152798										
Arge humeralis	Arge		NA	Argidae	Tenthredinoidea	152761										
Arge pectoralis	Arge		NA	Argidae	Tenthredinoidea	152760										
Caliroa cerasi	Caliroa		NA	Tenthredinidae	Tenthredinoidea	152802										
Caliroa quercuscoccineae	Caliroa		NA	Tenthredinidae	Tenthredinoidea	152803										
Cimbex americana	Cimbex		NA	Cimbicidae	Tenthredinoidea	152768										
Cladius difformis	Cladius		NA	Tenthredinidae	Tenthredinoidea	152805										
Diprion similis	Diprion		NA	Diprionidae	Tenthredinoidea	152773										
Diprionidae	NA		NA	Diprionidae	Tenthredinoidea	152771										
Endelomyia aethiops	Endelomyia		NA	Tenthredinidae	Tenthredinoidea	152809										
Fenusa dohrnii	Fenusa		NA	Tenthredinidae	Tenthredinoidea	152813										
Fenusa ulmi	Fenusa		NA	Tenthredinidae	Tenthredinoidea	152815										
Gilpinia hercyniae	Gilpinia		NA	Diprionidae	Tenthredinoidea	152775										
Hemichroa crocea	Hemichroa		NA	Tenthredinidae	Tenthredinoidea	152817										
Nematus ribesii	Nematus		NA	Tenthredinidae	Tenthredinoidea	152824										
Nematus ventralis	Nematus		NA	Tenthredinidae	Tenthredinoidea	152825										
Neodiprion abietis	Neodiprion		NA	Diprionidae	Tenthredinoidea	152777										
Neodiprion excitans	Neodiprion		NA	Diprionidae	Tenthredinoidea	152780										
