scientific_name	genus	tribe	subfamily	family	superfamily	ITIS_id	hairy	spiny	leafroll	silktent	unpalatable	aposematic	social	aggregate 	iNat_taxon_link	notes
Paonias excaecata	Paonias		Smerinthinae	Sphingidae	Bombycoidea	936107										
Paonias myops	Paonias		Smerinthinae	Sphingidae	Bombycoidea	936108										
Smerinthus jamaicensis	Smerinthus		Smerinthinae	Sphingidae	Bombycoidea	188626										
Agrius	Agrius		Sphinginae	Sphingidae	Bombycoidea	188616										
Agrius cingulata	Agrius		Sphinginae	Sphingidae	Bombycoidea	936020										
Ceratomia amyntor	Ceratomia		Sphinginae	Sphingidae	Bombycoidea	936028										
Ceratomia catalpae	Ceratomia		Sphinginae	Sphingidae	Bombycoidea	936029										
Ceratomia undulosa	Ceratomia		Sphinginae	Sphingidae	Bombycoidea	188619										
Dolba hyloeus	Dolba		Sphinginae	Sphingidae	Bombycoidea	936043										
Lapara	Lapara		Sphinginae	Sphingidae	Bombycoidea	935977										
Lapara bombycoides	Lapara		Sphinginae	Sphingidae	Bombycoidea	936080										
Lapara coniferarum	Lapara		Sphinginae	Sphingidae	Bombycoidea	936081										
Manduca	Manduca		Sphinginae	Sphingidae	Bombycoidea	935981										
Manduca rustica	Manduca		Sphinginae	Sphingidae	Bombycoidea	936099										
Manduca sexta	Manduca		Sphinginae	Sphingidae	Bombycoidea	936100										
Sphingini	NA		Sphinginae	Sphingidae	Bombycoidea	694329										
Paratrea plebeja	Paratrea		Sphinginae	Sphingidae	Bombycoidea	936109										
Sphinx chersis	Sphinx		Sphinginae	Sphingidae	Bombycoidea	936125										
Sphinx dollii	Sphinx		Sphinginae	Sphingidae	Bombycoidea	936127										
Sphinx kalmiae	Sphinx		Sphinginae	Sphingidae	Bombycoidea	188622										
Sphinx poecila	Sphinx		Sphinginae	Sphingidae	Bombycoidea	936133										
Oreta rosea	Oreta		Drepaninae	Drepanidae	Drepanoidea	189061										
Gelechiidae	NA		NA	Gelechiidae	Gelechioidea	118700										
Alsophila pometaria	Alsophila		Ennominae	Geometridae	Geometroidea	117558										
Biston betularia	Biston		Ennominae	Geometridae	Geometroidea	117560										
Campaea perlata	Campaea		Ennominae	Geometridae	Geometroidea	189289										
Digrammia continuata	Digrammia		Ennominae	Geometridae	Geometroidea	941795										
Digrammia ocellinata	Digrammia		Ennominae	Geometridae	Geometroidea	941818										
Epimecis hortaria	Epimecis		Ennominae	Geometridae	Geometroidea	941888										
Episemasia cervinaria	Episemasia		Ennominae	Geometridae	Geometroidea	941897										
Erannis tiliaria	Erannis		Ennominae	Geometridae	Geometroidea	117568										
Lycia ypsilon	Lycia		Ennominae	Geometridae	Geometroidea	942362										
Lytrosis unitaria	Lytrosis		Ennominae	Geometridae	Geometroidea	942366										
Melanolophia	Melanolophia		Ennominae	Geometridae	Geometroidea	941532										
Ennominae	NA		Ennominae	Geometridae	Geometroidea	694034										
Nematocampa resistaria	Nematocampa		Ennominae	Geometridae	Geometroidea	942435										
Patalene olyzonaria	Patalene		Ennominae	Geometridae	Geometroidea	942525										
Phaeoura quernaria	Phaeoura		Ennominae	Geometridae	Geometroidea	942563										
Phigalia	Phigalia		Ennominae	Geometridae	Geometroidea	941560										
Phigalia strigataria	Phigalia		Ennominae	Geometridae	Geometroidea	942571										
Phigalia titea	Phigalia		Ennominae	Geometridae	Geometroidea	942572										
Protoboarmia porcelaria	Protoboarmia		Ennominae	Geometridae	Geometroidea	189273										
Xanthotype	Xanthotype		Ennominae	Geometridae	Geometroidea	941617										
Chlorochlamys	Chlorochlamys		Geometrinae	Geometridae	Geometroidea	941443										
Nemoria bistriaria	Nemoria		Geometrinae	Geometridae	Geometroidea	942442										
Synchlora aerata	Synchlora		Geometrinae	Geometridae	Geometroidea	942878										
Eulithis diversilineata	Eulithis		Larentiinae	Geometridae	Geometroidea	117570										
Eupithecia	Eupithecia		Larentiinae	Geometridae	Geometroidea	117571										
Eupithecia miserulata	Eupithecia		Larentiinae	Geometridae	Geometroidea	942026										
Operophtera brumata	Operophtera		Larentiinae	Geometridae	Geometroidea	117589										
Geometridae	NA		NA	Geometridae	Geometroidea	117556										
Yponomeuta	Eumacrodes		Sterrhinae	Geometridae	Geometroidea	941951										
Geometroidea	NA		NA	NA	Geometroidea	117555										
Calledapteryx dryopterata	Calledapteryx		Epipleminae	Uraniidae	Geometroidea	941711										
Epargyreus clarus	Epargyreus		Eudaminae	Hesperiidae	Hesperioidea	117282										
Phocides polybius lilea	Phocides		Eudaminae	Hesperiidae	Hesperioidea	707430										
Lerema accius	Lerema		Hesperiinae	Hesperiidae	Hesperioidea	706680										
Hesperiidae	NA		NA	Hesperiidae	Hesperioidea	117278										
Paraclemensia acerifoliella	Paraclemensia		NA	Incurvariidae	Incurvarioidea	118822										
Malacosoma	Malacosoma		Lasiocampinae	Lasiocampidae	Lasiocampoidea	117542				Y			Y			
Malacosoma disstria	Malacosoma		Lasiocampinae	Lasiocampidae	Lasiocampoidea	117544				Y			Y			
Phyllodesma americana	Phyllodesma		Lasiocampinae	Lasiocampidae	Lasiocampoidea	117550							Y			
Lasiocampidae	NA		NA	Lasiocampidae	Lasiocampoidea	117541				Y			Y			
Acharia stimulea	Acharia	NA	NA	Limacodidae	Zygaenoidea	NA	N	Y	N	N					https://www.inaturalist.org/taxa/122228-Acharia-stimulea/browse_photos	
Acronicta insularis	Acronicta	NA	Acronictinae	Noctuidae	Noctuoidea	NA	Y	N	N	N					https://www.inaturalist.org/taxa/624408-Acronicta-insularis	
Acronyctodes mexicanaria	Acronyctodes	Nephodiini	Ennominae	Geometridae	Geometroidea	NA	N	N	N	N					https://www.inaturalist.org/taxa/446721-Acronyctodes-mexicanaria	
Anisota fuscosa	Anisota	NA	Ceratocampinae	Saturniidae	Bombycoidea	NA	N	Y	N	N					https://www.inaturalist.org/taxa/508780-Anisota-fuscosa	check with Allen about spiny
Apantesis virgo	Apantesis	Arctiini	Arctiinae	Erebidae	Noctuoidea	NA	N	Y	N	N					https://www.inaturalist.org/taxa/606580-Apantesis-virgo/browse_photos	
Apatelodes torrefacta	Apatelodes	NA	Apatelodinae	Apatelodidae	Bombycoidea	NA	Y	N	N	N					https://www.inaturalist.org/taxa/48262-Apatelodes-torrefacta	
Apoda biguttata	Apoda	NA	NA	Limacodidae	Zygaenoidea	NA	N	N	N	N					https://www.inaturalist.org/taxa/214013-Apoda-biguttata	
Arogalea cristifasciella	Arogalea	Litini	Gelechiinae	Gelechiidae	Gelechioidea	NA	N	N	Y	N					https://www.inaturalist.org/taxa/214195-Arogalea-cristifasciella	
Arsenura armida	Arsenura	NA	Arsenurinae	Saturniidae	Bombycoidea	NA	N	N	N	N			Y		https://www.inaturalist.org/taxa/257159-Arsenura-armida	
Atteva aurea	Atteva	NA	NA	Attevidae	Yponomeutoidea	NA	N	N	N	Y			Y		https://www.inaturalist.org/taxa/116681-Atteva-aurea	may need to revisit this species to determine social column
Automeris banus	Automeris	Hemileucini	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N			N		https://www.inaturalist.org/taxa/256348-Automeris-banus	
Automeris metzli	Automeris	Hemileucini	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N			N		https://www.inaturalist.org/taxa/257193-Automeris-metzli	
Automeris s	Automeris		NA	NA	NA	NA										
Caligo	Caligo		NA	NA	NA	NA										
Choristoneura houstonana	Choristoneura	Archipini	Tortricinae	Tortricidae	Tortricoidea	NA	N	N	N	N			N		https://www.inaturalist.org/taxa/559931-Choristoneura-houstonana	
Chrysoesthia sexguttella	Chrysoesthia	Apatetrini	Apatetrinae	Gelechiidae	Gelechioidea	NA	N	N	Y	N			N		https://www.inaturalist.org/taxa/216840-Chrysoesthia-sexguttella/browse_photos	Leaf mine rather than a true leaf roll
Comadia redtenbacheri	Comadia	NA	Cossinae	Cossidae	Cossoidea	NA	N	N	N	N					https://www.inaturalist.org/taxa/334247-Comadia-redtenbacheri	"possibly social, hard to tell and not many observations "
Copaxa multifenestrata	Copaxa	Saturniini	Saturniinae	Saturniidae	Bombycoidea	NA	Y	N	N	N			N		https://www.inaturalist.org/taxa/257260-Copaxa-multifenestrata	"Need to verify that this is considered hairy, could be a point of reference"
Dahlica triquetrella	Dahlica	NA	Naryciinae	Psychidae	Tineoidea	NA	N	N	N	N			N		https://www.inaturalist.org/taxa/218117-Dahlica-triquetrella	
Depressaria radiella	Depressaria	NA	Depressaiinae	Depressariidae	Gelechioidea	NA	Y	N	N	N			N		https://www.inaturalist.org/taxa/493492-Depressaria-radiella	Has hairs but only a few rows down length of body
Desmia s	Desmia		NA	NA	NA	NA										
Diaethria bacchis	Diaethria	Callicorini	Biblidinae	Nymphalidae	Papilionoidea	NA	N	N	N	N			N		https://www.inaturalist.org/taxa/336930-Diaethria-bacchis	
Epipaschia superatalis	Epipaschia	NA	Epipaschiinae	Pyralidae	Pyraloidea	NA	N	N	N	N			N		https://www.inaturalist.org/taxa/219354-Epipaschia-superatalis	
Eumaeus childrenae	Eumaeus	Eumaeini	Theclinae	Lycaenidae	Papilionoidea	NA	N	N	N	N			Y		https://www.inaturalist.org/taxa/123312-Eumaeus-childrenae	"Very fine hairs, check this classification.  Also they gather in groups but it's not evident that they work together…is this still considered social"
Evergestis rimosalis	Evergestis	NA	Glaphyriinae	Crambidae	Pyraloidea	NA	N	Y	N	N			N		https://www.inaturalist.org/taxa/359686-Evergestis-rimosalis	"A couple considerations here: are the structures hairs or spines, by count they appear to be spines, but they curve and appear structurally like hairs.  Are there enough to deter a bird"
Harrisina americana	Harrisina	Procridini	Procridinae	Zygaenidae	Zygaenoidea	NA	N	Y	N	N			N		https://www.inaturalist.org/taxa/126905-Harrisina-americana	"Listed as spiny needs verification, based on body coverage and structure"
Hellinsia	Hellinsia		NA	NA	NA	NA										
Hemileuca peigleri	Hemileuca	Hemileucini	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N			N		https://www.inaturalist.org/taxa/424934-Hemileuca-peigleri	
Herpetogramma	Herpetogramma		NA	NA	NA	NA										
Homoeosoma electella	Homoeosoma	Phycitini	Phycitinae	Pyralidae	Pyraloidea	NA	N	Y	N	N			N		https://www.inaturalist.org/taxa/343382-Homoeosoma-electella	"Said they were spiny but sturctures are very minute, possibly shouldn't be listed as hairy or spiny"
Isa textula	Isa	NA	NA	Limacodidae	Zygaenoidea	NA	N	Y	N	N			N		https://www.inaturalist.org/taxa/154469-Isa-textula	
Lepidoptera	NA		NA	NA	NA	117232										
Leucanella	Leucanella		NA	NA	NA	NA										
Leucanella hosmera	Leucanella	NA	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N			N		https://www.inaturalist.org/taxa/371748-Leucanella-hosmera	"Images of them in groups but also lots of singular images so leaning towards no for ""social"".  Also they look awesome "
Leucanella saturata	Leucanella	NA	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N			N		https://www.inaturalist.org/taxa/257236-Leucanella-saturata	Also put no for social.  See above for reasoning 
Leucanella viridescens	Leucanella	NA	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N			N		https://www.inaturalist.org/taxa/83650-Leucanella-viridescens	
Lithacodes fasciola	Lithacodes	NA	NA	Limacodidae	Zygaenoidea	NA	N	Y	N	N			N		https://www.inaturalist.org/taxa/201343-Lithacodes-fasciola	
Lophocampa catenulata	Lophocampa	Arctiini	Arctiinae	Erebidae	Noctuoidea	NA	Y	N	N	N			N		https://www.inaturalist.org/taxa/256971-Lophocampa-catenulata	
Malacosoma americana	Malacosoma	Lasiocampinae	Lasiocampinae	NA	NA	NA	Y	N	N	Y			Y	Y	https://www.inaturalist.org/taxa/211100-Malacosoma-americana	
Megalopyge crispata	Megalopyge	NA	NA	Megalopygidae	Zygaenoidea	NA	Y	N	N	N			N	N	https://www.inaturalist.org/taxa/703873-Megalopyge-crispata	
Megalopyge lanata	Megalopyge	NA	NA	Megalopygidae	Zygaenoidea	NA	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/507472-Megalopyge-lanata	
Megalopyge opercularis	Megalopyge	NA	NA	Megalopygidae	Zygaenoidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/84185-Megalopyge-opercularis	
Melittia cucurbitae	Melittia	Melittiini	Sesiinae	Sesiidae	Sesioidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/133346-Melittia-cucurbitae	
Mimoides	Mimoides		NA	NA	NA	NA										
Morpho helenor	Morpho	Morphini	Satyrinae	Nymphalidae	Papilionoidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/81741-Morpho-helenor	good example of something that is not consider aposematic despite vibrant pattern because it blends in reasonably well and doesn't have a simple and distinct pattern
Natada nasoni	Natada	NA	NA	Limacodidae	Zygaenoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/225460-Natada-nasoni	Has some red but wouldn't consider it aposematic
Norape ovina	Norape	NA	NA	Megalopygidae	Zygaenoidea	NA	Y	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/225994-Norape-ovina	
Norape virgo	Norape	NA	NA	Megalopygidae	Zygaenoidea	NA	Y	N	N	N		Y	N	N	https://www.inaturalist.org/taxa/318974-Norape-virgo	
Oiketicus abbotii	Oiketicus	NA	Oiketicinae	Psychidae	Tineoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/358315-Oiketicus-abbotii	
Olceclostera angelica	Olceclostera	NA	Apatelodinae	Apatelodidae	Bombycoidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/83860-Olceclostera-angelica	
Olethreutes exoletum	Olethreutes	Olethreutini	Olethreutinae	Tortricidae	Tortricoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/320609-Olethreutes-exoletum	very small spines
Omphalocera munroei	Omphalocera	Megarthridiini	Galleriinae	Pyralidae	Pyraloidea	NA	Y	N	Y	N		N	N	Y	https://www.inaturalist.org/taxa/325973-Omphalocera-munroei	
Opsiphanes cassina	Opsiphanes	Brassolini	Satyrinae	Nymphalidae	Papilionoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/148693-Opsiphanes-cassina	
Oreana unicolorella	Oreana	Phycitini	Phycitinae	Pyralidae	Pyraloidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/176496-Oreana-unicolorella	
Packardia elegans	Packardia	NA	NA	Limacodidae	Zygaenoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/226847-Packardia-elegans	
Papilio rumiko	Papilio	Papilionini	Papilioninae	Papilionidae	Papilionoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/509627-Papilio-rumiko	
Paradirphia fumosa	Paradirphia	NA	Hemileucinae	Saturniidae	Bombycoidea	NA	N	Y	N	N		N	N	Y	https://www.inaturalist.org/taxa/257240-Paradirphia-fumosa	
Parasa wellesca	Parasa	NA	NA	Limacodidae	Zygaenoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/525614-Parasa-wellesca	
Plodia interpunctella	Plodia	Phycitini	Phycitinae	Pyralidae	Pyraloidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/124184-Plodia-interpunctella	
Prolimacodes badia	Prolimacodes	NA	NA	Limacodidae	Zygaenoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/207603-Prolimacodes-badia	
Pryeria sinica	Pryeria	NA	NA	Phaudidae	Zygaenoidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/84168-Pryeria-sinica	
Pseudothyatira cymatophoroides	Pseudothyatira	Habrosynini	Thyatirinae	Drepanidae	Drepanoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/204699-Pseudothyatira-cymatophoroides	
Psilocorsis reflexella	Psilocorsis	NA	NA	Depressariidae	Gelechioidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/147992-Psilocorsis-reflexella	
Psyche casta	Psyche	NA	Psychinae	Psychidae	Tineoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/61413-Psyche-casta	Bag worms?
Rectiostoma xanthobasis	Rectiostoma	NA	Stenomatinae	Depressariidae	Gelechioidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/325666-Rectiostoma-xanthobasis	
Saucrobotys futilalis	Saucrobotys	NA	Pyraustinae	Crambidae	Pyraloidea	NA	N	N	N	Y		N	Y	Y	https://www.inaturalist.org/taxa/146889-Saucrobotys-futilalis	
Schizura ipomaeae	Schizura	NA	Heterocampinae	Notodontidae	Noctuoidea	NA	N	Y	N	N		N	N	N	https://www.inaturalist.org/taxa/204014-Schizura-ipomaeae	
Setiostoma xuthobasis	Setiostoma		NA	NA	NA	NA										
Sitochroa palealis	Sitochroa	NA	Pyraustinae	Crambidae	Pyraloidea	NA	N	N	N	N		N	N	N	Sitochroa palealis	
Synchlora s	Synchlora		NA	NA	NA	NA										
Syssphinx albolineata	Syssphinx	NA	Ceratocampinae	Saturniidae	Bombycoidea	NA	N	Y	N	N		Y	N	N	https://www.inaturalist.org/taxa/293787-Syssphinx-albolineata	
Thyridopteryx ephemeraeformis	Thyridopteryx	NA	Oiketicinae	Psychidae	Tineoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/121594-Thyridopteryx-ephemeraeformis	
Tinea pellionella	Tinea	NA	Tineinae	Tineidae	Tineoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/193928-Tinea-pellionella	
Tolype	Tolype		NA	NA	NA	NA										
Tolype velleda	Tolype	NA	Poecilocampinae	Lasiocampidae	Lasiocampoidea	NA	Y	N	N	N		N	N	N	https://www.inaturalist.org/taxa/143323-Tolype-velleda	
Tortricidia pallida	Tortricidia	NA	NA	Limacodidae	Zygaenoidea	NA	N	N	N	N		N	N	N	https://www.inaturalist.org/taxa/128787-Tortricidia-pallida	
Uresiphita reversalis	Uresiphita		NA	NA	NA	NA										
Apantesis	Apantesis		Arctiinae	Erebidae	Noctuoidea	188652										
Arctia caja	Arctia		Arctiinae	Erebidae	Noctuoidea	188662										
Ctenucha virginica	Ctenucha		Arctiinae	Erebidae	Noctuoidea	188644										
Cycnia collaris	Cycnia		Arctiinae	Erebidae	Noctuoidea	938382										
Cycnia tenera	Cycnia		Arctiinae	Erebidae	Noctuoidea	938385										
Empyreuma pugione	Empyreuma		Arctiinae	Erebidae	Noctuoidea	938538										
Estigmene acrea	Estigmene		Arctiinae	Erebidae	Noctuoidea	117299										
Euchaetes egle	Euchaetes		Arctiinae	Erebidae	Noctuoidea	938578										
Halysidota	Halysidota		Arctiinae	Erebidae	Noctuoidea	937234										
Halysidota harrisii	Halysidota		Arctiinae	Erebidae	Noctuoidea	938959										
Halysidota tessellaris	Halysidota		Arctiinae	Erebidae	Noctuoidea	938961										
Haploa	Haploa		Arctiinae	Erebidae	Noctuoidea	937235										
Haploa clymene	Haploa		Arctiinae	Erebidae	Noctuoidea	938962										
Haploa confusa	Haploa		Arctiinae	Erebidae	Noctuoidea	938964										
Haploa contigua	Haploa		Arctiinae	Erebidae	Noctuoidea	938965										
Hypercompe scribonia	Hypercompe		Arctiinae	Erebidae	Noctuoidea	939113										
Hyphantria cunea	Hyphantria	Arctiini	Arctiinae	Erebidae	Noctuoidea	117304	Y	N	N	Y			Y		https://www.inaturalist.org/taxa/127133-Hyphantria-cunea	
Hypoprepia fucosa	Hypoprepia		Arctiinae	Erebidae	Noctuoidea	939128										
Hypoprepia miniata	Hypoprepia		Arctiinae	Erebidae	Noctuoidea	939130										
Lerina incarnata	Lerina		Arctiinae	Erebidae	Noctuoidea	939301										
Lophocampa caryae	Lophocampa	Arctiini	Arctiinae	Erebidae	Noctuoidea	117307	Y	N	N	N			Y		https://www.inaturalist.org/taxa/82225-Lophocampa-caryae	Social at earlier instars and then disband
Lophocampa maculata	Lophocampa	Arctiini	Arctiinae	Erebidae	Noctuoidea	117308	Y	N	N	N			N		https://www.inaturalist.org/taxa/67691-Lophocampa-maculata	
Lymire edwardsii	Lymire		Arctiinae	Erebidae	Noctuoidea	939428										
Arctiinae	NA		Arctiinae	Erebidae	Noctuoidea	693997										
Arctiini	NA		Arctiinae	Erebidae	Noctuoidea	694170										
Lithosiini	NA		Arctiinae	Erebidae	Noctuoidea	694265										
Phaegopterina	NA		Arctiinae	Erebidae	Noctuoidea	937001										
Spilosomina	NA		Arctiinae	Erebidae	Noctuoidea	937004										
Phragmatobia fuliginosa	Phragmatobia		Arctiinae	Erebidae	Noctuoidea	188651										
Arctia parthenos	Platarctia		Arctiinae	Erebidae	Noctuoidea	188660										
Pyrrharctia isabella	Pyrrharctia		Arctiinae	Erebidae	Noctuoidea	117310										
Seirarctia echo	Seirarctia		Arctiinae	Erebidae	Noctuoidea	940287										
Spilosoma congrua	Spilosoma		Arctiinae	Erebidae	Noctuoidea	940311										
Spilosoma virginica	Spilosoma		Arctiinae	Erebidae	Noctuoidea	117312										
Syntomeida epilais	Syntomeida		Arctiinae	Erebidae	Noctuoidea	940551										
Calyptra canadensis	Calyptra		Calpinae	Erebidae	Noctuoidea	938038										
Plusiodonta compressipalpis	Plusiodonta		Calpinae	Erebidae	Noctuoidea	939902										
Caenurgina erechtea	Caenurgina		Erebinae	Erebidae	Noctuoidea	938028										
Catocala	Catocala		Erebinae	Erebidae	Noctuoidea	189014										
Catocala amica	Catocala		Erebinae	Erebidae	Noctuoidea	938069										
Catocala ilia	Catocala		Erebinae	Erebidae	Noctuoidea	189015										
Catocala illecta	Catocala		Erebinae	Erebidae	Noctuoidea	938107										
Catocala maestosa	Catocala		Erebinae	Erebidae	Noctuoidea	938122										
Catocala palaeogama	Catocala		Erebinae	Erebidae	Noctuoidea	938138										
Catocala ultronia	Catocala		Erebinae	Erebidae	Noctuoidea	938154										
Erebinae	NA		Erebinae	Erebidae	Noctuoidea	936931										
Parallelia bistriaris	Parallelia		Erebinae	Erebidae	Noctuoidea	939807										
Phoberia atomaris	Phoberia		Erebinae	Erebidae	Noctuoidea	939841										
Selenisa sueroides	Selenisa		Erebinae	Erebidae	Noctuoidea	940288										
Zale lunata	Zale		Erebinae	Erebidae	Noctuoidea	940714										
Panopoda rufimargo	Panopoda		Eulepidotinae	Erebidae	Noctuoidea	939750										
Phyprosopus callitrichoides	Phyprosopus		Eulepidotinae	Erebidae	Noctuoidea	939862										
Zanclognatha	Zanclognatha		Herminiinae	Erebidae	Noctuoidea	937543										
Hypena madefactalis	Hypena		Hypeninae	Erebidae	Noctuoidea	939087										
Hypena scabra	Hypena		Hypeninae	Erebidae	Noctuoidea	939094										
Dasychira	Dasychira		Lymantriinae	Erebidae	Noctuoidea	709246										
Dasychira obliquata	Dasychira		Lymantriinae	Erebidae	Noctuoidea	938411										
Lymantria dispar	Lymantria		Lymantriinae	Erebidae	Noctuoidea	709249										
Lymantriinae	NA		Lymantriinae	Erebidae	Noctuoidea	936936										
Orgyiini	NA		Lymantriinae	Erebidae	Noctuoidea	936963										
Orgyia	Orgyia		Lymantriinae	Erebidae	Noctuoidea	709242										
Orgyia antiqua	Orgyia		Lymantriinae	Erebidae	Noctuoidea	939668										
Orgyia definita	Orgyia		Lymantriinae	Erebidae	Noctuoidea	939670										
Orgyia detrita	Orgyia		Lymantriinae	Erebidae	Noctuoidea	939671										
Orgyia leucostigma	Orgyia		Lymantriinae	Erebidae	Noctuoidea	709251										
Erebidae	NA		NA	Erebidae	Noctuoidea	936921										
Scolecocampa liburna	Scolecocampa		Scolecocampinae	Erebidae	Noctuoidea	940271										
Scoliopteryx libatrix	Scoliopteryx		Scoliopteryginae	Erebidae	Noctuoidea	189022										
Noctuoidea	NA		NA	NA	Noctuoidea	117294										
Acronicta	Acronicta		Acronictinae	Noctuidae	Noctuoidea	117342										
